key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,,"",0,"",0,0,1,0,0,"","",""
1,"ui/icon/027000/027901.tex","",0,"",0,0,1,0,0,"魔土器:呪印解除","現在の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>のトラップを、すべて消去する。","魔土器:呪印解除"
2,"ui/icon/027000/027902.tex","",0,"",0,0,1,0,0,"魔土器:サイトロ","現在の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>のマップをすべて開示し、トラップを可視化する。","魔土器:サイトロ"
3,"ui/icon/027000/027903.tex","",0,"",0,0,1,0,0,"魔土器:自己強化","自身の与ダメージと回復魔法の回復量を30%上昇する。","魔土器:自己強化"
4,"ui/icon/027000/027904.tex","",0,"",0,0,1,0,0,"魔土器:防御強化","自身の被ダメージを40%軽減する。","魔土器:防御強化"
5,"ui/icon/027000/027905.tex","",0,"",0,0,1,0,0,"魔土器:宝箱増加","次の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>の宝箱配置数を増加する。","魔土器:宝箱増加"
6,"ui/icon/027000/027906.tex","",0,"",0,0,1,0,0,"魔土器:敵排除","次の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>の敵を減少させる。","魔土器:敵排除"
7,"ui/icon/027000/027907.tex","",0,"",0,0,1,0,0,"魔土器:敵変化","次の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>のいずれかの部屋の敵を、ミミックかマンドラゴラに変化させる。","魔土器:敵変化"
8,"ui/icon/027000/027908.tex","",0,"",0,0,1,0,0,"魔土器:解呪","ステータス「呪詛」を解除する。",""
9,"ui/icon/027000/027909.tex","",0,"",0,0,1,0,0,"魔土器:運気上昇","現在の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>において、敵を倒した際の宝箱出現率を上昇する。","魔土器:運気上昇"
10,"ui/icon/027000/027910.tex","",0,"",0,0,1,0,0,"魔土器:形態変化","自身を中心にした範囲内に入った対象を、カエル、カッパ、ニワトリ状態にする。","魔土器:形態変化"
