key,0,1,2,3,4
#,Requirement[0],Requirement[1],,,
int32,Quest,Quest,uint32,uint32,bit&02
65961,,"輝く希望",0,0,False
66344,,"海都と砂都と",66064,66082,False
66572,,,0,0,False
67199,,,0,0,False
69307,,"輝く希望",17,0,False
69604,,"マトーヤの洞窟",0,0,False
69614,,"鷹の巣",0,0,False
69686,,"暗闇を彩りながら",0,0,False
69691,,"霜雪を踏みしめて",0,0,False
69692,,"月を繰る者たち",0,0,False
69694,,"エウロスの冷笑",0,0,False
69695,,"暁月のフィナーレ",0,0,False
69699,,"星を救った英雄",0,0,False
69700,,"この世界の終末",0,0,False
69701,,"生まれ死んで答を得る",0,0,False
69702,,"暁月のフィナーレ",67624,0,False
69713,,"月という檻",0,0,False
69714,,"天の彼方へ",0,0,False
70009,,"職人の新たなお仕事",0,0,False
70010,,"今宵、魔法大学で",69702,0,True
70057,,,0,0,False
70115,,"ドマの弔い",69667,70000,True
70186,,"ひとつの冒険の終わり",0,0,False
70198,,"ただ、春の夜の夢のごとし",0,0,False
70297,,"いつも、いつまでも",0,0,False
70348,,"光明の起点",0,0,False
70382,,"サカ・トラルへ",0,0,False
70387,,"長城を越えて",0,0,False
70392,,"蒼天のイシュガルド",0,0,False
70393,,"紅蓮のリベレーター",0,0,False
70502,,"職人の新たなお仕事",0,0,False
70503,,"息吹は尚も絶えずして",70538,70786,True
70509,,"心をひとつに",0,0,False
70515,,"ウクラマトの平和",0,0,False
70516,,"すべての路は希望とともに",0,0,False
70521,,"ティーンベク洞道を抜けて",0,0,False
70523,,"サカ・トラルへ",0,0,False
70524,,"護る者、壊す者",0,0,False
70528,,"サカ・トラルへ",0,0,False
70535,,"最強のトラルヴィドラール",0,0,False
70536,,"友の試練",0,0,False
70537,,"サカ・トラルへ",0,0,False
70538,,"水没した街",0,0,False
70546,,"ヤクテル樹海に翔べ！",0,0,False
70547,,"黄金の扉の先へ",0,0,False
70548,,"黄金のレガシー",0,0,False
70724,,"打倒！ シャルトフィット盗賊団",70383,70495,True
70831,,"未知との邂逅",0,0,False
70851,,,0,0,False
70852,,,511,512,False
70853,,,0,0,False
